name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Jeff Adrien,PF,25,Jeff Adrien,8,63,11.2,.493,.000,.750,-0.1,16.8,0.1,0.1,0.1,.106,-5.4,-2.3,-7.7,9.1,31.6,20.3,2.4,0.0,2.4,8.6
Arron Afflalo,SG,26,Arron Afflalo,62,2086,14.7,.584,.316,.353,1.5,19.1,4.7,0.6,5.3,.121,2.5,-1.6,0.8,2.3,8.5,5.5,11.1,0.9,0.5,9.5
Blake Ahearn,PG,27,Blake Ahearn,4,30,-7.3,.357,.643,.000,-0.1,28.4,-0.2,0.0,-0.2,-0.315,-10.3,-6.0,-16.3,0.0,7.7,3.8,5.2,0.0,0.0,26.3
Solomon Alabi,C,23,Solomon Alabi,14,122,14.2,.418,.000,.222,-0.1,17.2,0.0,0.2,0.2,.083,-5.6,1.5,-4.1,14.6,30.4,22.6,4.1,0.9,6.0,11.2
Cole Aldrich,C,23,Cole Aldrich,26,173,17.7,.592,.000,.333,0.1,14.9,0.3,0.4,0.6,.176,-2.4,2.7,0.3,9.2,21.6,15.8,2.7,2.4,6.7,15.7
LaMarcus Aldridge,PF,26,LaMarcus Aldridge,55,1994,22.7,.560,.012,.291,2.2,27.0,5.4,1.6,7.0,.169,2.7,-0.2,2.4,8.6,17.5,12.9,13.2,1.3,1.7,9.5
Lavoy Allen,PF,22,Lavoy Allen,41,624,12.7,.488,.000,.084,0.1,14.5,0.4,1.2,1.6,.124,-3.1,1.8,-1.3,8.3,22.2,15.2,8.4,1.1,2.2,10.4
Ray Allen,SG,36,Ray Allen,46,1565,14.8,.607,.475,.215,1.8,18.6,2.5,2.2,4.7,.145,2.4,0.3,2.6,1.1,9.2,5.3,11.8,1.7,0.4,11.2
Tony Allen,SG,30,Tony Allen,58,1525,15.7,.541,.058,.391,1.7,18.4,1.7,2.5,4.2,.131,0.0,2.5,2.5,7.4,10.6,8.9,8.3,3.6,1.8,15.2
Morris Almond,SG,26,Morris Almond,4,67,8.7,.382,.176,.176,0.0,12.9,-0.1,0.1,0.0,.032,-3.8,1.8,-2.0,1.7,11.9,6.7,4.4,5.4,0.0,5.2
Al-Farouq Aminu,SF,21,Al-Farouq Aminu,66,1477,10.6,.481,.129,.312,0.2,16.2,-0.4,1.8,1.4,.044,-3.0,1.6,-1.3,7.8,16.9,12.4,7.2,2.2,1.9,18.0
Lou Amundson,PF,29,Lou Amundson,60,753,11.5,.438,.000,.396,-0.1,17.3,-0.3,1.3,1.0,.062,-3.9,1.2,-2.7,14.1,19.0,16.6,3.0,1.9,4.6,15.6
Chris Andersen,C,33,Chris Andersen,32,486,18.9,.583,.000,.759,0.4,14.8,1.0,0.8,1.9,.183,-1.2,2.6,1.4,11.9,23.3,17.8,1.8,2.0,7.4,10.6
Alan Anderson,SF,29,Alan Anderson,17,461,8.7,.519,.430,.239,-0.2,18.6,0.1,0.2,0.3,.032,-1.2,-2.2,-3.4,2.1,6.5,4.3,9.5,0.6,0.5,13.7
James Anderson,SG,22,James Anderson,51,603,8.8,.483,.391,.299,-0.2,17.2,0.1,0.4,0.5,.040,-2.2,-1.4,-3.6,3.1,11.8,7.5,9.6,0.7,0.2,13.2
Ryan Anderson,PF,23,Ryan Anderson,61,1964,21.2,.589,.557,.226,3.3,21.2,7.0,1.9,8.9,.219,5.9,-1.3,4.6,13.0,14.7,13.8,5.1,1.4,1.0,6.4
Carmelo Anthony,SF,27,Carmelo Anthony,55,1876,21.1,.525,.198,.358,2.3,31.8,3.7,2.6,6.2,.160,2.9,0.0,2.9,5.4,15.9,10.6,21.0,1.7,1.0,10.8
Joel Anthony,C,29,Joel Anthony,64,1349,10.3,.598,.000,.467,0.9,7.8,1.2,2.2,3.4,.122,-2.1,2.8,0.7,9.2,12.8,11.1,1.0,1.4,5.1,19.7
Gilbert Arenas,PG,30,Gilbert Arenas,17,211,9.9,.526,.609,.156,0.1,17.3,0.1,0.3,0.4,.088,-0.2,-0.7,-0.9,1.1,9.0,5.0,13.4,2.8,0.4,14.9
Trevor Ariza,SF,26,Trevor Ariza,41,1350,14.2,.496,.216,.253,1.3,18.4,0.5,1.7,2.2,.078,-0.4,2.2,1.8,3.7,15.1,9.5,16.8,2.8,1.5,14.5
,,,,,,,,,,,,,,,,,,,,,,,,,
Ömer Aşık,C,25,Ömer Aşık,66,971,13.4,.509,.000,.660,0.8,12.6,0.1,2.5,2.6,.129,-3.3,4.4,1.1,14.9,25.1,20.1,4.8,1.7,5.0,25.2
D.J. Augustin,PG,24,D.J. Augustin,48,1408,14.1,.493,.368,.246,-0.6,21.3,0.7,-0.2,0.5,.018,0.8,-4.4,-3.6,1.9,7.2,4.4,38.9,1.3,0.1,16.9
Gustavo Ayón,PF,26,Gustavo Ayón,54,1088,16.7,.552,.004,.241,1.5,14.5,1.5,1.7,3.2,.142,-0.1,3.6,3.4,9.6,19.3,14.5,11.5,2.6,3.5,13.7
Jeff Ayres,C,24,Jeff Ayres,20,106,13.4,.435,.000,.194,0.0,17.6,0.1,0.2,0.3,.115,-2.3,-0.8,-3.2,12.8,22.1,17.5,6.3,1.5,1.5,4.9
