As. Pct,Blk Pct,Box +-,DRB Pct,DWS,Deff. Box +-,FG3A PerFGA%,Fta PerFGA%,GP,MP,ORB Pct,OWS,Off. Box +-,PER,Stl Pct,TO Pct,TRB Pct,TS %,Teams,Usg Pct,VORP,WS,WS Per 48,age,name,position
3.4,0.6,-2.2,8.9,1.0,-1.7,.759,.158,75,1134,2.5,1.3,-0.5,9.0,1.7,7.4,5.6,.567,Álex Abrines,12.7,-0.1,2.2,.094,24,Álex Abrines,SG
6.0,1.6,-2.2,17.1,1.1,-0.2,.800,.164,70,1359,3.1,-0.1,-2.0,8.2,1.2,13.3,10.0,.525,Quincy Acy,14.4,-0.1,1.0,.036,27,Quincy Acy,PF
5.5,2.8,3.3,13.9,3.0,1.1,.003,.402,76,2487,16.6,6.7,2.2,20.6,1.8,13.3,15.3,.630,Steven Adams,16.7,3.3,9.7,.187,24,Steven Adams,C
11.0,2.5,0.2,21.6,1.9,1.8,.021,.526,69,1368,9.7,2.3,-1.6,15.7,1.2,13.6,15.6,.570,Bam Adebayo,15.9,0.8,4.2,.148,20,Bam Adebayo,C
6.2,1.1,-5.8,10.1,0.2,-1.8,.432,.160,53,682,0.6,-0.1,-4.1,5.8,0.3,10.8,5.3,.516,Arron Afflalo,12.5,-0.7,0.1,.009,32,Arron Afflalo,SG
8.2,1.8,-7.0,28.6,0.1,0.0,.000,.400,21,49,7.0,-0.1,-7.0,6.0,2.0,5.4,17.6,.340,Cole Aldrich,16.8,-0.1,0.0,-0.013,29,Cole Aldrich,C
11.3,3.0,3.3,17.3,3.5,0.3,.068,.296,75,2509,10.8,7.4,3.0,25.0,0.9,6.8,14.0,.570,LaMarcus Aldridge,29.1,3.3,10.9,.209,32,LaMarcus Aldridge,C
5.4,4.6,0.2,18.1,1.5,1.4,.038,.370,72,1441,10.5,2.7,-1.3,17.5,0.9,15.1,14.3,.636,Jarrett Allen,16.3,0.8,4.2,.141,19,Jarrett Allen,C
15.2,1.6,-6.4,7.1,0.1,0.3,.500,.409,18,107,4.1,-0.2,-6.7,2.6,1.4,25.7,5.6,.366,Kadeem Allen,14.6,-0.1,-0.1,-0.038,25,Kadeem Allen,PG
4.6,0.9,-5.2,10.4,0.2,-1.3,.132,.231,22,273,8.2,-0.2,-4.0,8.7,1.9,15.9,9.3,.514,Tony Allen,18.9,-0.2,0.1,.017,36,Tony Allen,SF
5.8,1.6,1.1,22.3,3.2,1.9,.582,.137,69,2072,5.2,0.9,-0.8,12.0,1.9,11.3,13.8,.522,Al-Farouq Aminu,14.8,1.6,4.2,.097,27,Al-Farouq Aminu,PF
7.1,1.1,-2.0,13.6,0.7,-1.5,.510,.188,38,519,5.4,0.6,-0.5,13.0,1.4,6.8,9.6,.540,Justin Anderson,19.3,0.0,1.2,.115,24,Justin Anderson,SF
14.7,2.5,4.1,17.6,3.8,4.3,.130,.333,74,1978,4.7,2.4,-0.3,15.9,2.9,15.8,11.1,.582,Kyle Anderson,13.5,3.0,6.2,.151,24,Kyle Anderson,SF
5.1,1.0,0.2,15.4,1.7,-0.8,.706,.194,66,1725,6.2,3.1,1.0,12.6,0.7,7.5,10.8,.592,Ryan Anderson,14.4,1.0,4.8,.132,29,Ryan Anderson,PF
0.0,8.9,-5.4,15.0,0.0,-1.2,.000,.667,11,30,19.0,0.1,-4.1,21.6,1.7,14.7,16.9,.558,Ike Anigbogu,20.3,0.0,0.1,.165,19,Ike Anigbogu,C
23.7,3.3,5.8,25.3,3.6,1.9,.100,.457,75,2756,6.7,8.3,3.9,27.3,2.0,11.7,16.0,.598,Giannis Antetokounmpo,31.2,5.4,11.9,.207,23,Giannis Antetokounmpo,PF
6.5,1.8,-3.8,17.7,2.5,-1.9,.406,.165,78,2501,2.9,1.2,-1.9,12.7,0.9,7.3,10.0,.503,Carmelo Anthony,23.2,-1.1,3.7,.071,33,Carmelo Anthony,PF
5.0,0.8,0.6,10.4,1.6,0.4,.569,.179,74,1481,3.4,1.4,0.2,10.0,1.7,10.8,7.0,.587,OG Anunoby,12.4,1.0,3.0,.098,20,OG Anunoby,SF
15.5,0.0,-4.1,8.8,0.2,-0.7,.756,.146,24,304,0.3,0.1,-3.3,7.3,2.1,23.0,4.4,.550,Ryan Arcidiacono,8.1,-0.2,0.3,.040,23,Ryan Arcidiacono,PG
6.8,0.5,1.5,12.9,2.8,0.7,.710,.137,67,2269,1.7,2.6,0.8,11.8,2.1,7.0,7.3,.567,Trevor Ariza,14.4,2.0,5.3,.113,32,Trevor Ariza,SF
,,,,,,,,,,,,,,,,,,,,,,,,,
9.3,1.8,-4.5,9.5,0.1,-1.0,.489,.064,19,141,2.4,-0.2,-3.5,8.4,2.8,23.7,6.0,.559,Darrell Arthur,19.5,-0.1,0.0,-0.011,29,Darrell Arthur,PF
9.3,0.9,-5.9,13.5,0.1,-1.5,.367,.152,15,279,1.6,-0.1,-4.3,6.9,0.4,8.7,7.5,.457,Jamel Artis,14.5,-0.3,0.0,-0.006,25,Jamel Artis,SG
