APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
4.3,0.9,-3.4,7.8,0.6,-0.9,.809,.083,31,588,0.9,0.1,-2.4,6.3,1.3,7.9,4.2,.507,Álex Abrines,12.2,-0.2,0.6,.053,25,Álex Abrines,SG
8.2,2.7,-5.9,20.1,0.0,-0.3,.833,.556,10,123,2.7,-0.1,-5.7,2.9,0.4,15.2,11.3,.379,Quincy Acy,9.2,-0.1,-0.1,-0.022,28,Quincy Acy,PF
19.8,1.0,-4.4,12.3,0.2,-1.3,.673,.082,34,428,2.6,-0.1,-3.1,7.6,1.5,19.7,7.4,.474,Jaylen Adams,13.5,-0.3,0.1,.011,22,Jaylen Adams,PG
6.6,2.4,2.7,14.8,4.0,2.1,.002,.361,80,2669,14.7,5.1,0.6,18.5,2.0,12.6,14.7,.591,Steven Adams,16.4,3.2,9.1,.163,25,Steven Adams,C
14.2,3.0,3.0,24.0,3.4,3.6,.031,.465,82,1913,9.2,3.4,-0.6,17.9,1.8,17.1,16.6,.623,Bam Adebayo,15.8,2.4,6.8,.171,21,Bam Adebayo,C
3.4,1.8,-7.3,9.6,0.0,-2.0,.639,.111,19,194,1.6,-0.2,-5.3,2.7,0.3,13.7,5.4,.424,Deng Adel,9.9,-0.3,-0.2,-0.054,21,Deng Adel,SF
37.1,0.0,-3.6,14.8,0.0,0.8,.400,.200,7,22,4.9,-0.1,-4.4,8.2,4.5,15.5,9.8,.322,DeVaughn Akoon-Purcell,25.0,0.0,0.0,-0.051,25,DeVaughn Akoon-Purcell,SG
11.6,3.4,1.6,19.8,2.9,0.5,.032,.312,81,2687,10.3,6.4,1.2,22.9,0.8,8.8,15.1,.576,LaMarcus Aldridge,26.9,2.5,9.3,.167,33,LaMarcus Aldridge,C
15.2,0.0,-6.5,13.7,0.0,-2.5,.308,.308,10,120,9.9,-0.1,-4.1,8.1,0.4,15.3,11.8,.418,Rawle Alkins,19.0,-0.1,-0.1,-0.042,21,Rawle Alkins,SG
8.9,1.1,-6.8,5.1,0.4,-3.1,.556,.337,38,416,0.8,-0.4,-3.7,7.5,0.7,13.9,3.0,.516,Grayson Allen,24.4,-0.5,0.0,.002,23,Grayson Allen,SG
7.9,4.5,2.5,24.0,3.3,3.2,.079,.489,80,2096,9.6,4.4,-0.7,18.5,1.0,13.0,16.8,.632,Jarrett Allen,15.9,2.4,7.6,.175,20,Jarrett Allen,C
28.7,0.8,-1.1,11.1,0.2,-1.6,.255,.383,19,416,2.0,0.7,0.5,16.2,1.9,13.6,6.4,.574,Kadeem Allen,19.6,0.1,1.0,.111,26,Kadeem Allen,SG
6.0,1.2,0.9,22.6,2.8,0.8,.472,.292,81,2292,5.3,3.0,0.1,13.2,1.4,9.7,14.2,.568,Al-Farouq Aminu,13.7,1.7,5.8,.121,28,Al-Farouq Aminu,PF
6.9,2.4,-3.2,13.9,0.4,-0.7,.490,.223,48,463,5.3,0.1,-2.6,11.2,2.2,11.8,9.5,.516,Justin Anderson,17.2,-0.1,0.4,.043,25,Justin Anderson,SF
15.0,2.7,1.2,18.1,1.8,3.3,.123,.232,43,1281,4.1,0.8,-2.1,12.8,2.1,16.0,11.0,.569,Kyle Anderson,12.6,1.0,2.7,.100,25,Kyle Anderson,SF
7.8,0.3,-6.4,12.5,0.0,-2.0,.580,.232,25,322,6.1,-0.3,-4.5,4.6,0.6,15.5,9.2,.414,Ryan Anderson,12.0,-0.4,-0.2,-0.035,30,Ryan Anderson,PF
8.1,0.3,-6.5,12.5,0.0,-2.1,.567,.233,15,278,5.5,-0.2,-4.4,4.6,0.5,15.4,9.0,.423,Ryan Anderson,12.1,-0.3,-0.2,-0.039,30,Ryan Anderson,PF
5.8,0.0,-5.8,12.1,0.0,-0.8,.667,.222,10,44,9.7,0.0,-4.9,4.5,1.1,16.8,10.9,.354,Ryan Anderson,11.6,0.0,0.0,-0.009,30,Ryan Anderson,PF
19.4,14.8,-14.0,36.2,0.0,8.5,.000,.000,3,6,18.9,-0.1,-22.5,-6.0,0.0,25.0,27.7,.000,Ike Anigbogu,29.1,0.0,-0.1,-0.480,20,Ike Anigbogu,C
30.3,3.9,10.8,30.0,5.5,5.0,.163,.550,72,2358,7.3,8.9,5.7,30.9,1.8,14.8,19.3,.644,Giannis Antetokounmpo,32.3,7.6,14.4,.292,24,Giannis Antetokounmpo,PF
0.0,0.0,-13.3,9.7,0.0,2.7,.000,1.333,2,11,0.0,-0.1,-15.9,-0.9,8.8,17.4,4.9,.210,Kostas Antetokounmpo,22.5,0.0,-0.1,-0.247,21,Kostas Antetokounmpo,PF
