name,Teams,age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
A.J. Davis,DEL,24,2,2,0,46.9,4.8,1.6,3.2,50.0,0.0,0.0,0.0,1.6,3.2,50.0,6.3,3.2,9.5,1.6,1.6,0.0,0.0,11.1,17.0,0,0,-19.0
A.J. Hess,WIS,25,17,4,13,44.8,12.6,4.3,11.8,36.5,2.8,8.3,33.3,1.2,1.3,92.3,0.4,2.5,2.9,1.4,1.0,1.2,0.5,3.3,22.4,0,0,-1.8
AJ Mosby,ERI,23,19,7,12,45.6,13.0,5.1,11.8,43.6,2.0,5.3,37.1,0.8,0.9,83.3,0.6,4.4,5.0,5.6,2.4,2.3,0.5,4.2,33.0,0,0,-4.2
Aaron Epps,NAS,23,49,12,37,47.4,20.4,8.2,16.4,50.2,2.9,7.9,36.4,1.1,1.2,89.7,4.0,9.2,13.3,1.5,2.0,0.9,1.8,6.0,44.5,11,0,-3.6
Abdel Nader,OKL,25,3,3,0,45.2,36.9,13.6,26.8,50.9,2.5,9.6,26.3,7.1,10.1,70.0,2.0,8.1,10.1,5.6,4.0,2.5,0.0,2.5,60.9,1,0,18.7
Abdul Gaddy,OKL,27,49,33,16,45.9,14.9,6.0,10.8,55.7,1.3,2.8,44.9,1.6,3.0,54.8,0.8,4.1,4.8,11.6,3.7,1.3,0.2,3.9,39.0,11,0,5.2
Adam Woodbury,GRD,25,38,24,14,46.4,16.0,6.6,12.1,55.0,0.0,0.0,0.0,2.8,3.8,71.9,7.0,11.6,18.7,2.6,2.9,1.4,1.0,5.8,46.6,6,0,2.9
Akeem Springs,SLC,25,13,5,8,47.0,13.5,4.7,14.7,31.7,3.0,10.7,28.3,1.2,1.2,100,0.2,3.5,3.7,2.8,0.9,0.9,0.5,2.3,25.4,0,0,-19.1
Alan Williams,LIN,26,41,28,13,43.0,31.5,11.9,24.8,48.0,0.7,2.5,26.6,7.0,9.0,77.7,5.2,15.3,20.5,3.8,3.8,1.0,1.4,4.6,65.4,31,0,11.3
Alen Smailagic,SCW,18,47,32,15,45.6,23.7,9.0,18.1,49.5,1.1,4.3,24.4,4.7,7.2,65.9,5.6,4.9,10.5,2.6,3.6,2.3,2.4,6.1,50.8,3,0,5.8
Alex Caruso,SBL,25,27,12,15,44.9,22.1,7.5,18.2,41.0,1.7,6.3,26.9,5.5,6.8,81.0,1.5,4.3,5.8,9.3,5.3,3.4,1.0,3.4,51.1,4,0,0.8
Alex Poythress,ERI,25,18,8,10,45.0,30.7,13.0,25.2,51.6,1.5,5.1,29.6,3.2,4.5,69.8,3.7,8.9,12.6,3.8,4.7,1.6,1.7,3.9,56.7,8,0,-6.5
Alize Johnson,FWN,23,31,17,14,47.3,24.7,10.1,19.9,50.7,1.5,3.9,38.3,3.0,4.0,74.2,5.9,11.6,17.5,4.6,3.1,1.2,0.7,3.0,54.9,23,0,0.8
Amida Brimah,AUS,25,47,18,29,47.5,17.9,7.6,12.2,62.3,0.0,0.0,0.0,2.8,8.3,33.5,6.4,9.9,16.3,2.9,4.9,0.4,6.2,6.5,57.0,8,0,-5.5
Amile Jefferson,LAK,26,34,21,13,48.5,26.3,10.9,18.6,58.3,0.0,0.1,33.3,4.5,6.1,73.9,5.9,10.6,16.5,5.5,3.0,1.1,1.0,3.6,57.7,24,0,4.6
