name,Teams,age,GP,GS,MPG,FG PerM,FGA PerM,FG %,FG3 PerM,FG3A PerM,FG3 %,FG2 PerM,FG2A PerM,FTPerM,ORB PerM,DRB PerM,TRB PerM,APerM,SPerM,BPerM,TO PerM,Fouls PerM,PPerM
Muhammad-Ali Abdur-Rahkman,CAN,,49,5,986,4.0,9.5,.418,2.2,6.1,.355,.526,3.5,1.4,0.8,2.5,3.3,2.7,0.9,0.2,1.2,2.7,11.5
Quincy Acy,TEX,28,3,3,100,9.0,19.4,.463,2.5,7.2,.350,.529,12.2,2.9,1.4,6.8,8.3,1.4,1.1,1.8,1.4,4.3,23.4
Jaylen Adams,HAW,22,20,20,633,5.5,13.9,.396,2.6,7.8,.336,.472,6.1,2.4,1.0,4.2,5.1,6.7,1.9,0.3,3.0,3.2,16.0
Jordan Adams,RIO,24,2,0,7,5.1,10.3,.500,5.1,10.3,.500,,0.0,0.0,0.0,5.1,5.1,10.3,10.3,0.0,5.1,10.3,15.4
Josh Adams,RAP,,20,11,598,6.7,16.6,.404,2.6,7.1,.364,.433,9.5,2.8,0.5,4.7,5.2,5.3,1.3,0.7,3.6,3.2,18.8
Deng Adel,,,,,,,,,,,,,,,,,,,,,,,
Deng Adel,CAN,21,12,12,364,5.6,12.6,.449,1.0,3.1,.323,.490,9.5,2.1,1.2,6.0,7.2,2.6,0.7,0.6,2.5,1.8,14.3
Deng Adel,RAP,21,25,24,779,5.6,13.0,.431,1.4,4.4,.323,.486,8.5,2.4,0.8,5.5,6.2,3.0,0.9,0.5,2.3,1.7,15.1
DeVaughn Akoon-Purcell,DEL,25,2,0,58,8.7,19.9,.438,4.3,7.4,.583,.350,12.4,8.7,0.6,5.0,5.6,5.0,2.5,0.6,4.3,4.3,30.4
Bryce Alford,OKL,24,50,21,1503,5.4,13.5,.399,3.2,9.3,.349,.509,4.2,2.9,0.2,3.8,4.1,4.3,1.1,0.1,2.0,1.4,16.8
,,,,,,,,,,,,,,,,,,,,,,,
Rawle Alkins,WCB,21,44,17,1138,6.4,14.3,.448,1.4,4.6,.306,.515,9.8,1.4,2.4,5.3,7.6,4.0,1.3,1.0,3.0,2.4,15.7
Dakarai Allen,,,,,,,,,,,,,,,,,,,,,,,
