name,Teams,age,>5 FGM,>5 FGA,>5 FG%,5-9 FGM,5-9 FGA,5-9 FG%,10-14 FGM,10-14 FGA,10-14 FG%,15-19 FGM,15-19 FGA,15-19 FG%,20-24 FGM,20-24 FGA,20-24 FG%,25-29 FGM,25-29 FGA,25-29 FG%
A.J. Davis,DEL,24,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Hess,WIS,25,0.3,0.7,41.7,0.1,0.1,100,0.1,0.2,25.0,0.2,0.7,33.3,0.8,1.7,44.8,1.1,3.4,31.6
AJ Mosby,ERI,23,0.5,0.8,60.0,0.3,0.5,60.0,0.3,0.4,57.1,0.1,0.5,22.2,0.2,0.5,44.4,0.5,1.3,36.0
Aaron Epps,NAS,23,2.2,3.2,69.6,0.2,0.6,37.0,0.2,0.2,72.7,0.1,0.2,40.0,0.4,1.2,35.0,1.0,2.8,36.0
Abdel Nader,OKL,25,5.0,8.0,62.5,1.7,2.3,71.4,0.0,0.3,0.0,0.3,0.3,100,1.3,3.0,44.4,0.7,3.7,18.2
Abdul Gaddy,OKL,27,2.0,2.9,69.2,0.5,0.9,54.5,0.3,0.8,41.0,0.1,0.3,50.0,0.3,0.8,36.8,0.5,1.1,46.4
Adam Woodbury,GRD,25,2.3,3.5,64.7,0.2,0.6,30.4,0.1,0.4,20.0,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0
Akeem Springs,SLC,25,0.4,0.8,50.0,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.2,50.0,0.5,1.5,30.0,0.5,2.2,24.1
Alan Williams,LIN,26,5.0,8.8,56.7,1.8,4.2,42.4,0.3,1.0,31.7,0.0,0.0,0.0,0.1,0.4,33.3,0.3,1.1,25.0
Alen Smailagic,SCW,18,2.7,4.0,69.0,0.2,0.7,29.4,0.0,0.2,11.1,0.0,0.2,22.2,0.1,0.6,17.2,0.3,1.2,25.0
Alex Caruso,SBL,25,2.4,4.6,52.4,0.3,0.7,35.0,0.6,1.4,44.7,0.3,0.7,40.0,0.4,1.2,31.3,0.8,2.9,27.3
Alex Poythress,ERI,25,7.9,13.1,60.2,0.6,1.5,40.7,0.1,0.3,40.0,0.1,0.3,40.0,0.5,1.6,31.0,0.8,2.7,30.6
Alize Johnson,FWN,23,5.0,8.0,62.3,1.2,2.5,46.8,0.2,0.9,24.1,0.3,0.8,30.8,0.4,0.8,46.2,0.8,2.2,36.2
Amida Brimah,AUS,25,3.1,4.6,68.4,0.4,1.0,42.9,0.1,0.3,40.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Amile Jefferson,LAK,26,6.6,10.0,65.9,0.5,1.4,32.7,0.0,0.3,10.0,0.2,0.6,33.3,0.1,0.3,36.4,0.0,0.1,50.0
