name,Teams,age,Restricted FGM,Restricted FGA,Restricted FG%,Paint FGM,Paint FGA,Paint FG%,Mid FGM,Mid FGA,Mid FG%,Left Corner FGM,Left Corner FGA,Left Corner FG%,Right Corner FGM,Right Corner FGA,Right Corner FG%,Above Break FGM,Above Break FGA,Above Break FG%
A.J. Davis,DEL,24,0.0,0.5,0.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Hess,WIS,25,0.3,0.6,45.5,0.1,0.2,33.3,0.5,1.2,45.0,0.3,0.6,44.4,0.3,0.6,44.4,1.1,3.7,30.2
AJ Mosby,ERI,23,0.4,0.6,63.6,0.6,0.9,64.7,0.2,0.8,20.0,0.1,0.1,50.0,0.2,0.3,60.0,0.5,1.4,33.3
Aaron Epps,NAS,23,2.1,3.0,71.2,0.3,0.8,42.1,0.3,0.5,48.0,0.1,0.3,31.3,0.2,0.5,29.2,1.2,3.2,38.1
Abdel Nader,OKL,25,5.0,7.7,65.2,1.7,3.0,55.6,0.7,0.7,100,0.7,1.7,40.0,0.0,0.3,0.0,1.0,4.3,23.1
Abdul Gaddy,OKL,27,1.9,2.6,72.1,0.8,1.7,46.9,0.3,0.8,44.7,0.1,0.2,44.4,0.1,0.3,38.5,0.6,1.3,45.5
Adam Woodbury,GRD,25,2.2,3.2,68.3,0.3,1.0,29.7,0.1,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akeem Springs,SLC,25,0.4,0.6,62.5,0.1,0.3,25.0,0.1,0.4,20.0,0.1,0.3,33.3,0.0,0.5,0.0,0.9,2.8,32.4
Alan Williams,LIN,26,4.4,7.4,60.1,2.5,6.1,40.8,0.1,0.5,27.3,0.0,0.1,20.0,0.1,0.1,50.0,0.3,1.3,25.9
Alen Smailagic,SCW,18,2.6,3.7,72.1,0.3,1.1,32.0,0.0,0.5,8.0,0.0,0.2,22.2,0.0,0.1,0.0,0.4,1.4,26.2
Alex Caruso,SBL,25,2.3,4.3,53.0,0.8,2.0,41.5,0.6,1.3,44.4,0.0,0.2,20.0,0.1,0.5,25.0,0.9,3.3,27.8
Alex Poythress,ERI,25,7.4,12.3,60.6,1.1,2.3,45.2,0.4,1.0,44.4,0.0,0.4,0.0,0.2,0.4,57.1,0.9,3.1,29.1
Alize Johnson,FWN,23,4.7,7.0,67.3,1.6,3.7,42.2,0.4,1.7,23.1,0.2,0.3,50.0,0.1,0.2,57.1,0.9,2.4,36.0
Amida Brimah,AUS,25,3.0,4.3,69.8,0.6,1.2,46.6,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amile Jefferson,LAK,26,6.1,8.6,71.2,0.9,2.9,32.0,0.4,1.1,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0
Amir Johnson,DEL,32,4.0,5.0,80.0,1.0,1.5,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
Amjyot Singh,WIS,27,0.3,0.6,57.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.6,25.0,0.3,1.4,22.2
Andre Ingram,SBL,33,0.4,0.7,55.6,0.2,1.0,25.0,0.8,1.6,52.5,0.2,0.5,30.0,0.1,0.4,35.7,1.3,3.5,36.9
Andre Spight,WIS,24,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.6,60.0,0.1,0.5,25.0,0.4,0.8,50.0,0.3,2.1,15.8
Andrew White III,MNE,26,1.4,2.4,58.5,0.2,0.5,40.0,0.5,1.3,39.4,0.3,0.7,42.9,0.4,0.9,43.9,1.7,4.9,35.8
