Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Phil Pressey,Celtics,2013-2014,REG,75,38.74,24.51,9.88,23.72,0.79,1.98,0.40,0.276,0.258,0.160,0.500,0.000,0.200,0.000
Erik Murphy,"Bulls, Jazz",2013-2014,REG,24,15.38,38.46,30.77,7.69,7.69,0.00,0.00,0.000,0.200,0.250,1.000,0.000,0.000,0.000
Sergey Karasev,Cavaliers,2013-2014,REG,22,34.29,28.57,5.71,11.43,8.57,11.43,0.00,0.083,0.300,0.500,1.000,0.333,0.500,0.000
Giannis Antetokounmpo,Bucks,2013-2014,REG,77,23.92,13.16,8.13,50.48,1.91,2.15,0.24,0.400,0.182,0.176,0.550,0.125,0.000,0.000
Victor Oladipo,Magic,2013-2014,REG,80,21.15,25.53,8.65,41.67,1.18,1.39,0.43,0.333,0.381,0.210,0.538,0.364,0.308,0.000
Vander Blue,Celtics,2013-2014,REG,3,0.00,25.00,25.00,25.00,25.00,0.00,0.00,0.000,0.000,1.000,1.000,0.000,0.000,0.000
Trey Burke,Jazz,2013-2014,REG,70,32.70,33.93,11.61,17.08,1.67,2.68,0.33,0.328,0.388,0.356,0.490,0.467,0.333,0.000
Tony Snell,Bulls,2013-2014,REG,77,39.29,19.64,9.23,18.15,7.74,5.95,0.00,0.326,0.409,0.484,0.492,0.231,0.400,0.000
Tony Mitchell,Pistons,2013-2014,REG,21,8.33,25.00,0.00,66.67,0.00,0.00,0.00,1.000,0.000,0.000,0.500,0.000,0.000,0.000
Timothy Hardaway Jr.,Knicks,2013-2014,REG,81,34.64,20.82,4.95,21.83,7.71,9.75,0.29,0.366,0.420,0.176,0.653,0.415,0.313,0.000
Steven Adams,Thunder,2013-2014,REG,81,0.00,5.41,22.70,71.89,0.00,0.00,0.00,0.000,0.200,0.357,0.571,0.000,0.000,0.000
Shane Larkin,Mavericks,2013-2014,REG,48,23.36,32.12,17.52,22.63,0.73,3.65,0.00,0.281,0.273,0.417,0.581,1.000,0.400,0.000
Shabazz Muhammad,Timberwolves,2013-2014,REG,37,6.45,37.90,13.71,39.52,0.00,2.42,0.00,0.250,0.511,0.353,0.490,0.000,0.333,0.000
Rudy Gobert,Jazz,2013-2014,REG,45,0.00,1.35,12.16,86.49,0.00,0.00,0.00,0.000,0.000,0.222,0.531,0.000,0.000,0.000
Robert Covington,Rockets,2013-2014,REG,7,50.00,7.14,14.29,0.00,28.57,0.00,0.00,0.286,1.000,0.500,0.000,0.500,0.000,0.000
Ricky Ledo,Mavericks,2013-2014,REG,11,41.18,23.53,5.88,23.53,0.00,5.88,0.00,0.429,0.000,0.000,0.750,0.000,0.000,0.000
