Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Drew Gordon,76ers,2014-2015,REG,9,0.636,0.500,0.000,0.000,0.000,57.89,10.53,15.79,15.79,0.00,8.95,2.00,14.00
David Stockton,Kings,2014-2015,REG,2,0.333,0.000,0.000,0.500,0.000,60.00,0.00,0.00,40.00,0.00,11.60,13.50,10.33
Joe Ingles,Jazz,2014-2015,REG,79,0.535,0.545,0.424,0.358,0.000,20.06,6.21,16.67,56.78,0.28,18.35,16.45,19.70
Bryce Cotton,Jazz,2014-2015,REG,15,0.533,0.545,0.348,0.350,0.000,21.74,15.94,33.33,28.99,0.00,15.83,13.69,17.38
Mitch McGary,Thunder,2014-2015,REG,32,0.608,0.387,0.250,0.000,0.000,72.73,18.79,7.27,1.21,0.00,5.10,3.25,7.21
Dante Exum,Jazz,2014-2015,REG,82,0.534,0.222,0.222,0.317,0.000,21.26,4.35,10.87,63.29,0.24,18.43,15.90,19.78
Andre Dawkins,"Heat, Celtics",2014-2015,REG,4,0.000,0.000,0.000,0.167,0.000,0.00,0.00,0.00,100.00,0.00,24.33,24.00,24.40
JaKarr Sampson,76ers,2014-2015,REG,74,0.571,0.292,0.200,0.252,0.000,53.64,7.00,2.92,35.86,0.58,11.43,7.17,14.56
Eric Moreland,Kings,2014-2015,REG,3,1.000,0.000,0.000,0.000,0.000,100.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00
Shayne Whittington,Pacers,2014-2015,REG,20,0.480,0.000,0.600,0.167,0.000,59.52,2.38,23.81,14.29,0.00,9.31,7.89,10.48
Jerrelle Benimon,Jazz,2014-2015,REG,2,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Clint Capela,Rockets,2014-2015,REG,12,0.417,0.000,0.000,0.000,0.000,100.00,0.00,0.00,0.00,0.00,1.92,0.50,2.93
Jusuf Nurkic,Nuggets,2014-2015,REG,62,0.460,0.368,0.382,0.000,0.000,85.64,4.96,8.88,0.52,0.00,4.46,3.56,5.19
Bruno Caboclo,Raptors,2014-2015,REG,8,0.333,0.000,0.000,0.667,0.000,50.00,16.67,8.33,25.00,0.00,10.25,12.00,9.38
Damjan Rudez,Pacers,2014-2015,REG,68,0.600,0.500,0.510,0.406,0.000,11.41,4.56,19.39,64.64,0.00,20.23,19.14,21.13
Tyler Johnson,Heat,2014-2015,REG,31,0.507,0.389,0.300,0.370,0.500,42.51,10.78,17.96,27.54,1.20,13.04,11.00,14.51
Sim Bhullar,Kings,2014-2015,REG,3,1.000,0.000,0.000,0.000,0.000,50.00,50.00,0.00,0.00,0.00,10.00,5.00,15.00
