Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Danuel House,Wizards,2016-2017,REG,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Patricio Garino,Magic,2016-2017,REG,5,14.29,28.57,0.00,0.00,0.00,57.14,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Marcus Georges-Hunt,"Heat, Magic",2016-2017,REG,5,28.57,14.29,28.57,28.57,0.00,0.00,0.00,0.500,0.000,0.500,0.000,0.000,0.000,0.000
Nicolas Laprovittola,Spurs,2016-2017,REG,18,46.81,4.26,10.64,27.66,10.64,0.00,0.00,0.318,0.500,0.400,0.538,0.600,0.000,0.000
"Derrick Jones, Jr.",Suns,2016-2017,REG,32,4.96,11.57,12.40,66.94,1.65,2.48,0.00,0.000,0.286,0.200,0.716,1.000,0.333,0.000
David Nwaba,Lakers,2016-2017,REG,20,0.00,5.00,11.25,78.75,3.75,1.25,0.00,0.000,0.250,0.444,0.651,0.000,1.000,0.000
Paul Zipser,Bulls,2016-2017,REG,44,25.34,21.72,8.14,25.34,8.14,10.41,0.90,0.304,0.354,0.278,0.589,0.333,0.435,0.000
Shawn Long,76ers,2016-2017,REG,17,16.51,9.17,5.50,67.89,0.00,0.92,0.00,0.389,0.300,0.167,0.676,0.000,0.000,0.000
Daniel Ochefu,Wizards,2016-2017,REG,19,0.00,11.11,14.81,74.07,0.00,0.00,0.00,0.000,0.333,0.250,0.500,0.000,0.000,0.000
Marshall Plumlee,Knicks,2016-2017,REG,21,0.00,10.00,20.00,70.00,0.00,0.00,0.00,0.000,0.333,0.333,0.619,0.000,0.000,0.000
Mindaugas Kuzminskas,Knicks,2016-2017,REG,68,34.42,3.79,10.03,40.65,5.42,5.69,0.00,0.299,0.286,0.378,0.573,0.350,0.429,0.000
Nicolas Brussino,Mavericks,2016-2017,REG,54,53.90,18.44,4.26,9.93,6.38,6.38,0.71,0.263,0.385,0.333,0.786,0.222,0.778,0.000
Bryn Forbes,Spurs,2016-2017,REG,36,42.42,34.34,9.09,3.03,7.07,4.04,0.00,0.333,0.471,0.333,0.000,0.143,0.500,0.000
Okaro White,Heat,2016-2017,REG,35,20.69,16.09,10.34,34.48,9.20,9.20,0.00,0.333,0.357,0.222,0.467,0.375,0.375,0.000
Mike Tobey,Hornets,2016-2017,REG,2,0.00,25.00,0.00,75.00,0.00,0.00,0.00,0.000,0.000,0.000,0.333,0.000,0.000,0.000
Rodney Hood,Jazz,2016-2017,REG,59,34.23,21.62,17.87,14.41,6.16,5.41,0.30,0.351,0.451,0.336,0.552,0.439,0.444,0.000
Glenn Robinson,Pacers,2016-2017,REG,69,14.54,29.08,8.90,25.22,10.98,11.28,0.00,0.327,0.439,0.433,0.624,0.405,0.474,0.000
James Young,Celtics,2016-2017,REG,29,36.84,8.77,12.28,19.30,14.04,8.77,0.00,0.286,0.200,0.286,0.909,0.375,0.400,0.000
Jerami Grant,"76ers, Thunder",2016-2017,REG,80,15.24,12.80,10.06,41.46,13.72,6.71,0.00,0.280,0.286,0.333,0.632,0.444,0.409,0.000
Joe Harris,Nets,2016-2017,REG,52,45.30,7.18,3.59,28.18,9.12,6.63,0.00,0.360,0.308,0.385,0.549,0.515,0.375,0.000
Doug McDermott,"Bulls, Thunder",2016-2017,REG,66,27.97,24.35,13.68,20.12,3.22,10.66,0.00,0.360,0.446,0.412,0.630,0.313,0.415,0.000
Sean Kilpatrick,Nets,2016-2017,REG,70,31.70,14.56,13.06,30.48,2.59,6.67,0.95,0.352,0.364,0.344,0.571,0.421,0.306,0.000
Aaron Gordon,Magic,2016-2017,REG,80,22.54,22.08,9.60,37.46,3.82,4.16,0.35,0.297,0.361,0.337,0.676,0.273,0.278,0.000
TJ Warren,Suns,2016-2017,REG,66,5.28,32.19,23.83,31.94,2.46,3.93,0.37,0.302,0.405,0.443,0.712,0.250,0.250,0.000
Lamar Patterson,Hawks,2016-2017,REG,5,33.33,6.67,13.33,40.00,0.00,6.67,0.00,0.000,0.000,0.500,0.167,0.000,1.000,0.000
Marcus Smart,Celtics,2016-2017,REG,79,32.98,12.42,18.29,24.97,3.74,6.41,1.20,0.255,0.355,0.380,0.481,0.357,0.438,0.000
Kyle Anderson,Spurs,2016-2017,REG,72,3.85,25.00,19.71,36.54,8.65,5.77,0.48,0.250,0.327,0.366,0.605,0.500,0.333,0.000
Dwight Powell,Mavericks,2016-2017,REG,77,15.12,23.34,8.75,48.28,1.86,2.39,0.27,0.333,0.307,0.394,0.731,0.000,0.222,0.000
Adreian Payne,Timberwolves,2016-2017,REG,18,24.07,25.93,11.11,35.19,1.85,1.85,0.00,0.231,0.571,0.333,0.526,0.000,0.000,0.000
Noah Vonleh,Trail Blazers,2016-2017,REG,74,5.20,19.33,16.36,57.25,0.74,1.12,0.00,0.429,0.442,0.409,0.532,0.000,0.000,0.000
Julius Randle,Lakers,2016-2017,REG,74,7.63,12.81,27.94,51.10,0.26,0.26,0.00,0.254,0.374,0.380,0.610,0.500,0.500,0.000
Johnny O'Bryant III,"Nuggets, Hornets",2016-2017,REG,11,20.00,26.67,16.67,36.67,0.00,0.00,0.00,0.500,0.250,0.600,0.636,0.000,0.000,0.000
