Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Derek Grimm,Kings,1997-1998,REG,8,50.00,14.29,0.00,0.00,21.43,14.29,0.00,0.286,0.000,0.000,0.000,0.333,0.500,0.000
Keith Closs,Clippers,1997-1998,REG,57,0.00,30.43,22.22,47.34,0.00,0.00,0.00,0.000,0.317,0.261,0.622,0.000,0.000,0.000
Michael Stewart,Kings,1997-1998,REG,81,0.00,17.03,16.41,66.56,0.00,0.00,0.00,0.000,0.218,0.245,0.605,0.000,0.000,0.000
Etdrick Bohannon,Pacers,1997-1998,REG,4,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kevin Ollie,"Mavericks, Magic",1997-1998,REG,33,1.02,41.84,15.31,41.84,0.00,0.00,0.00,0.000,0.268,0.333,0.512,0.000,0.000,0.000
DeJuan Wheat,Timberwolves,1997-1998,REG,32,28.00,32.00,8.00,28.00,2.00,0.00,2.00,0.571,0.313,0.000,0.500,0.000,0.000,0.000
Chris Crawford,Hawks,1997-1998,REG,40,1.82,22.73,20.00,54.55,0.91,0.00,0.00,0.500,0.440,0.136,0.517,0.000,0.000,0.000
Alvin Williams,"Trail Blazers, Raptors",1997-1998,REG,53,6.38,47.16,14.18,29.08,2.13,0.71,0.35,0.389,0.391,0.400,0.598,0.167,0.000,0.000
Eric Washington,Nuggets,1997-1998,REG,66,20.08,46.18,6.02,20.48,5.62,1.61,0.00,0.320,0.348,0.533,0.608,0.321,0.250,0.000
God Shammgod,Wizards,1997-1998,REG,18,3.45,24.14,17.24,55.17,0.00,0.00,0.00,0.000,0.286,0.200,0.406,0.000,0.000,0.000
Cedric Henderson,Cavaliers,1997-1998,REG,82,0.41,45.79,11.31,42.34,0.00,0.14,0.00,0.000,0.392,0.280,0.635,0.000,0.000,0.000
Jason Lawson,Magic,1997-1998,REG,17,0.00,6.67,20.00,73.33,0.00,0.00,0.00,0.000,0.000,0.333,0.727,0.000,0.000,0.000
Anthony Johnson,Kings,1997-1998,REG,77,16.58,37.60,18.39,22.99,2.46,1.97,0.00,0.317,0.301,0.357,0.536,0.267,0.500,0.000
Jerald Honeycutt,Bucks,1997-1998,REG,38,21.27,24.89,12.22,27.60,8.14,4.52,1.36,0.362,0.291,0.259,0.607,0.444,0.500,0.000
James Collins,Clippers,1997-1998,REG,23,27.27,29.09,5.45,29.09,1.82,5.45,1.82,0.600,0.250,0.333,0.438,0.000,0.000,0.000
Kebu Stewart,76ers,1997-1998,REG,15,0.00,0.00,11.54,88.46,0.00,0.00,0.00,0.000,0.000,1.000,0.391,0.000,0.000,0.000
Bubba Wells,Mavericks,1997-1998,REG,37,2.59,55.17,7.76,31.90,0.86,0.86,0.86,0.000,0.391,0.333,0.514,1.000,0.000,0.000
Marko Milic,Suns,1997-1998,REG,33,7.81,17.19,12.50,60.94,1.56,0.00,0.00,0.600,0.273,0.375,0.769,0.000,0.000,0.000
James Cotton,SuperSonics,1997-1998,REG,9,9.52,23.81,9.52,47.62,4.76,4.76,0.00,0.000,0.400,0.000,0.600,0.000,0.000,0.000
Charles O'Bannon,Pistons,1997-1998,REG,29,4.35,36.23,8.70,50.72,0.00,0.00,0.00,0.000,0.240,0.333,0.514,0.000,0.000,0.000
Keith Booth,Bulls,1997-1998,REG,5,16.67,33.33,0.00,50.00,0.00,0.00,0.00,0.000,0.500,0.000,0.333,0.000,0.000,0.000
Jacque Vaughn,Jazz,1997-1998,REG,45,5.74,54.10,4.10,35.25,0.00,0.82,0.00,0.429,0.273,0.000,0.535,0.000,0.000,0.000
Charles Smith,"Heat, Clippers",1997-1998,REG,34,32.80,33.60,12.00,17.60,2.40,1.60,0.00,0.317,0.405,0.333,0.591,0.333,0.000,0.000
John Thomas,"Celtics, Raptors",1997-1998,REG,54,0.00,18.58,17.70,63.72,0.00,0.00,0.00,0.000,0.429,0.200,0.583,0.000,0.000,0.000
Rodrick Rhodes,Rockets,1997-1998,REG,58,2.30,33.77,10.82,52.79,0.00,0.00,0.33,0.286,0.340,0.121,0.441,0.000,0.000,0.000
Bobby Jackson,Nuggets,1997-1998,REG,68,9.10,54.87,10.37,24.40,0.76,0.38,0.13,0.264,0.362,0.354,0.528,0.333,0.333,0.000
Ed Gray,Hawks,1997-1998,REG,30,19.31,42.08,8.91,27.23,1.49,0.50,0.50,0.436,0.271,0.389,0.527,0.000,1.000,0.000
Anthony Parker,76ers,1997-1998,REG,36,33.33,31.75,3.17,20.63,4.76,4.76,1.59,0.238,0.450,0.000,0.538,0.333,0.667,1.000
Scot Pollard,Pistons,1997-1998,REG,32,0.00,21.43,1.43,77.14,0.00,0.00,0.00,0.000,0.133,0.000,0.611,0.000,0.000,0.000
Chris Anstey,Mavericks,1997-1998,REG,41,4.33,59.74,5.19,28.14,2.16,0.43,0.00,0.100,0.304,0.500,0.631,0.400,0.000,0.000
Johnny Taylor,Magic,1997-1998,REG,12,5.41,51.35,24.32,18.92,0.00,0.00,0.00,0.500,0.211,0.333,0.714,0.000,0.000,0.000
Brevin Knight,Cavaliers,1997-1998,REG,80,0.84,46.79,22.80,29.22,0.17,0.17,0.00,0.000,0.415,0.422,0.514,0.000,0.000,0.000
Kelvin Cato,Trail Blazers,1997-1998,REG,74,0.44,27.07,18.78,52.84,0.44,0.00,0.44,0.000,0.210,0.256,0.612,0.000,0.000,0.000
Maurice Taylor,Clippers,1997-1998,REG,71,0.15,44.15,21.63,34.07,0.00,0.00,0.00,0.000,0.396,0.425,0.613,0.000,0.000,0.000
Derek Anderson,Cavaliers,1997-1998,REG,66,11.43,38.91,12.46,34.47,1.37,0.51,0.85,0.179,0.399,0.219,0.569,0.375,0.667,0.000
Austin Croshere,Pacers,1997-1998,REG,26,8.14,50.00,9.30,24.42,5.81,2.33,0.00,0.286,0.349,0.250,0.524,0.200,0.500,0.000
Tariq Abdul-Wahad,Kings,1997-1998,REG,59,3.64,46.50,14.01,34.17,0.84,0.56,0.28,0.231,0.313,0.260,0.615,0.333,0.000,0.000
Danny Fortson,Nuggets,1997-1998,REG,80,0.49,29.95,16.20,53.36,0.00,0.00,0.00,0.333,0.295,0.394,0.558,0.000,0.000,0.000
Tracy McGrady,Raptors,1997-1998,REG,64,7.29,30.90,11.56,47.74,1.51,1.01,0.00,0.310,0.317,0.304,0.589,0.500,0.500,0.000
Adonal Foyle,Warriors,1997-1998,REG,54,0.59,17.65,30.00,51.76,0.00,0.00,0.00,0.000,0.267,0.353,0.489,0.000,0.000,0.000
Tim Thomas,76ers,1997-1998,REG,77,20.91,26.90,8.04,40.20,1.02,2.92,0.00,0.385,0.337,0.182,0.625,0.429,0.200,0.000
Ron Mercer,Celtics,1997-1998,REG,80,2.01,58.69,12.58,26.29,0.17,0.17,0.09,0.130,0.432,0.333,0.578,0.000,0.000,0.000
Tony Battie,Nuggets,1997-1998,REG,65,2.10,53.90,10.67,32.76,0.38,0.00,0.19,0.273,0.311,0.429,0.692,0.000,0.000,0.000
Antonio Daniels,Grizzlies,1997-1998,REG,74,8.39,45.62,18.43,26.46,0.36,0.55,0.18,0.217,0.368,0.485,0.524,0.500,0.000,0.000
Chauncey Billups,"Celtics, Raptors",1997-1998,REG,80,39.92,14.42,13.22,28.97,2.27,1.20,0.00,0.334,0.324,0.384,0.461,0.176,0.444,0.000
Keith Van Horn,Nets,1997-1998,REG,62,18.43,33.43,16.24,29.04,0.96,1.91,0.00,0.306,0.363,0.441,0.579,0.300,0.300,0.000
Tim Duncan,Spurs,1997-1998,REG,82,0.62,30.38,21.91,46.93,0.08,0.00,0.08,0.000,0.427,0.475,0.671,0.000,0.000,0.000
Bruce Bowen,Celtics,1997-1998,REG,61,11.41,25.84,16.11,38.26,2.01,5.70,0.67,0.324,0.325,0.208,0.588,0.667,0.294,0.000
Tom Chambers,76ers,1997-1998,REG,1,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.000,0.000,0.000
Lawrence Funderburke,Kings,1997-1998,REG,52,0.51,44.10,10.51,43.59,0.77,0.26,0.26,0.000,0.390,0.366,0.635,0.333,0.000,0.000
Jimmy Oliver,Wizards,1997-1998,REG,1,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.000,0.000,0.000,0.000,0.000
