APG,BPG,DRB PG,EFG %,FG %,FG PG,FG2 %,FG2 PG,FG2A PG,FG3 %,FG3 PG,FG3A PG,FGA PG,FT %,FT PG,FTA PG,Fouls PG,GP,GS,MPG,ORB PG,PPG,SPG,TO PG,TRB PG,Teams,age,name,position
0.4,0.1,1.2,.540,.395,1.5,.443,0.4,0.9,.380,1.1,2.9,3.9,.848,0.5,0.6,1.7,75,8,15.1,0.3,4.7,0.5,0.3,1.5,Álex Abrines,24,Álex Abrines,SG
0.8,0.4,3.1,.496,.356,1.9,.384,0.4,1.0,.349,1.5,4.2,5.2,.817,0.7,0.9,2.1,70,8,19.4,0.6,5.9,0.5,0.9,3.7,Quincy Acy,27,Quincy Acy,PF
1.2,1.0,4.0,.629,.629,5.9,.631,5.9,9.3,.000,0.0,0.0,9.4,.559,2.1,3.8,2.8,76,76,32.7,5.1,13.9,1.2,1.7,9.0,Steven Adams,24,Steven Adams,C
1.5,0.6,3.8,.512,.512,2.5,.523,2.5,4.8,.000,0.0,0.1,4.9,.721,1.9,2.6,2.0,69,19,19.8,1.7,6.9,0.5,1.0,5.5,Bam Adebayo,20,Bam Adebayo,C
0.6,0.2,1.2,.485,.401,1.2,.413,0.7,1.7,.386,0.5,1.3,3.1,.846,0.4,0.5,1.1,53,3,12.9,0.1,3.4,0.1,0.4,1.2,Arron Afflalo,32,Arron Afflalo,SG
0.1,0.0,0.6,.333,.333,0.2,.333,0.2,0.7,,0.0,0.0,0.7,.333,0.1,0.3,0.5,21,0,2.3,0.1,0.6,0.1,0.0,0.7,Cole Aldrich,29,Cole Aldrich,C
2.0,1.2,5.2,.520,.510,9.2,.526,8.8,16.7,.293,0.4,1.2,18.0,.837,4.5,5.3,2.1,75,75,33.5,3.3,23.1,0.6,1.5,8.5,LaMarcus Aldridge,32,LaMarcus Aldridge,C
0.7,1.2,3.4,.596,.589,3.3,.599,3.2,5.3,.333,0.1,0.2,5.5,.776,1.6,2.0,2.0,72,31,20.0,2.0,8.2,0.4,1.1,5.4,Jarrett Allen,19,Jarrett Allen,C
0.7,0.1,0.4,.273,.273,0.3,.545,0.3,0.6,.000,0.0,0.6,1.2,.778,0.4,0.5,0.8,18,1,5.9,0.2,1.1,0.2,0.5,0.6,Kadeem Allen,25,Kadeem Allen,PG
0.4,0.1,1.2,.505,.484,2.0,.506,1.8,3.6,.333,0.2,0.5,4.1,.524,0.5,1.0,2.2,22,0,12.4,0.9,4.7,0.5,0.9,2.1,Tony Allen,36,Tony Allen,SF
1.2,0.6,6.2,.503,.395,3.3,.432,1.5,3.5,.369,1.8,4.9,8.4,.738,0.9,1.2,2.0,69,67,30.0,1.4,9.3,1.1,1.1,7.6,Al-Farouq Aminu,27,Al-Farouq Aminu,PF
0.7,0.2,1.8,.515,.431,2.3,.535,1.4,2.6,.330,0.9,2.7,5.3,.737,0.7,1.0,1.4,38,0,13.7,0.7,6.2,0.4,0.4,2.4,Justin Anderson,24,Justin Anderson,SF
