APerM,BPerM,DRB PerM,FG %,FG PerM,FG2 PerM,FG2A PerM,FG3 %,FG3 PerM,FG3A PerM,FGA PerM,FTPerM,Fouls PerM,GP,GS,MPG,ORB PerM,PPerM,SPerM,TO PerM,TRB PerM,Teams,age,name,position
0.9,0.3,2.8,.395,3.7,.443,2.2,.380,2.7,7.0,9.2,1.2,3.9,75,8,1134,0.8,11.2,1.2,0.8,3.6,Álex Abrines,24,Álex Abrines,SG
1.5,0.8,5.7,.356,3.4,.384,1.9,.349,2.7,7.7,9.7,1.3,3.9,70,8,1359,1.1,10.9,0.9,1.6,6.8,Quincy Acy,27,Quincy Acy,PF
1.3,1.1,4.4,.629,6.5,.631,10.3,.000,0.0,0.0,10.3,2.3,3.1,76,76,2487,5.6,15.3,1.3,1.9,9.9,Steven Adams,24,Steven Adams,C
2.7,1.1,6.9,.512,4.6,.523,8.8,.000,0.0,0.2,8.9,3.4,3.6,69,19,1368,3.1,12.6,0.8,1.7,10.0,Bam Adebayo,20,Bam Adebayo,C
1.6,0.5,3.3,.401,3.4,.413,4.9,.386,1.4,3.7,8.6,1.2,3.0,53,3,682,0.2,9.4,0.2,1.1,3.5,Arron Afflalo,32,Arron Afflalo,SG
2.2,0.7,8.8,.333,3.7,.333,11.0,,0.0,0.0,11.0,1.5,8.1,21,0,49,2.2,8.8,1.5,0.7,11.0,Cole Aldrich,29,Cole Aldrich,C
2.2,1.3,5.6,.510,9.9,.526,18.0,.293,0.4,1.3,19.3,4.8,2.3,75,75,2509,3.5,24.9,0.6,1.6,9.1,LaMarcus Aldridge,32,LaMarcus Aldridge,C
1.2,2.2,6.1,.589,5.8,.599,9.5,.333,0.1,0.4,9.9,2.8,3.7,72,31,1441,3.6,14.7,0.7,2.0,9.7,Jarrett Allen,19,Jarrett Allen,C
4.0,0.7,2.4,.273,2.0,.545,3.7,.000,0.0,3.7,7.4,2.4,5.0,18,1,107,1.3,6.4,1.0,3.0,3.7,Kadeem Allen,25,Kadeem Allen,PG
1.2,0.4,3.6,.484,5.8,.506,10.4,.333,0.5,1.6,12.0,1.5,6.5,22,0,273,2.6,13.6,1.5,2.5,6.2,Tony Allen,36,Tony Allen,SF
1.5,0.7,7.4,.395,4.0,.432,4.2,.369,2.2,5.9,10.1,1.0,2.4,69,67,2072,1.7,11.2,1.4,1.4,9.1,Al-Farouq Aminu,27,Al-Farouq Aminu,PF
1.7,0.5,4.7,.431,6.0,.535,6.9,.330,2.4,7.1,14.0,1.9,3.7,38,0,519,1.7,16.4,1.0,1.1,6.5,Justin Anderson,24,Justin Anderson,SF
3.7,1.1,5.7,.527,4.2,.556,6.9,.333,0.3,1.0,8.0,1.9,2.1,74,67,1978,1.5,10.6,2.1,1.7,7.2,Kyle Anderson,24,Kyle Anderson,SF
1.3,0.4,4.9,.431,4.3,.539,2.9,.386,2.7,7.1,10.0,1.5,2.6,66,50,1725,2.0,12.9,0.5,0.9,6.9,Ryan Anderson,29,Ryan Anderson,PF
0.0,3.6,4.8,.444,4.8,.444,10.8,,0.0,0.0,10.8,6.0,1.2,11,0,30,6.0,15.6,1.2,2.4,10.8,Ike Anigbogu,19,Ike Anigbogu,C
4.7,1.4,7.8,.529,9.7,.554,16.5,.307,0.6,1.8,18.3,6.4,3.0,75,75,2756,2.0,26.3,1.4,2.9,9.8,Giannis Antetokounmpo,23,Giannis Antetokounmpo,PF
1.5,0.7,5.6,.404,6.8,.437,10.0,.357,2.4,6.8,16.8,2.1,2.8,78,78,2501,1.0,18.2,0.7,1.4,6.5,Carmelo Anthony,33,Carmelo Anthony,PF
1.3,0.3,3.4,.471,4.0,.604,3.6,.371,1.8,4.8,8.4,0.9,3.2,74,62,1481,1.1,10.6,1.3,1.1,4.5,OG Anunoby,20,OG Anunoby,SF
4.1,0.0,2.8,.415,2.0,.800,1.2,.290,1.1,3.7,4.9,0.6,2.1,24,0,304,0.1,5.7,1.5,1.5,3.0,Ryan Arcidiacono,23,Ryan Arcidiacono,PG
1.7,0.2,4.1,.412,4.3,.519,3.0,.368,2.7,7.3,10.3,1.2,2.1,67,67,2269,0.5,12.4,1.6,0.8,4.7,Trevor Ariza,32,Trevor Ariza,SF
,,,,,,,,,,,,,,,,,,,,,,,,
2.3,0.8,3.1,.468,5.6,.583,6.1,.348,2.0,5.9,12.0,0.5,5.6,19,1,141,0.8,13.8,2.0,3.8,3.8,Darrell Arthur,29,Darrell Arthur,PF
2.3,0.4,4.4,.392,4.0,.460,6.5,.276,1.0,3.7,10.2,0.9,1.4,15,1,279,0.5,9.9,0.3,1.0,4.9,Jamel Artis,25,Jamel Artis,SG
0.6,0.8,7.5,.409,1.8,.409,4.4,,0.0,0.0,4.4,0.8,4.0,18,0,182,1.8,4.4,0.4,1.8,9.3,Ömer Aşık,31,Ömer Aşık,C
0.6,0.6,8.9,.438,2.1,.438,4.8,,0.0,0.0,4.8,1.2,4.2,14,0,121,2.1,5.4,0.3,1.5,11.0,Ömer Aşık,31,Ömer Aşık,C
0.6,1.2,4.7,.333,1.2,.333,3.5,,0.0,0.0,3.5,0.0,3.5,4,0,61,1.2,2.4,0.6,2.4,5.9,Ömer Aşık,31,Ömer Aşık,C
5.9,0.0,2.7,.452,5.0,.485,5.5,.419,2.3,5.6,11.0,3.4,1.9,75,36,1760,0.6,15.7,1.1,2.5,3.3,D.J. Augustin,30,D.J. Augustin,PG
1.6,0.4,4.5,.423,4.6,.525,3.0,.385,3.0,7.9,10.8,0.9,2.7,50,14,715,0.4,13.0,0.4,1.0,4.8,Luke Babbitt,28,Luke Babbitt,SF
1.6,0.3,4.8,.476,5.1,.544,3.6,.441,3.1,7.0,10.6,1.1,3.0,37,9,570,0.3,14.3,0.4,0.9,5.1,Luke Babbitt,28,Luke Babbitt,SF
1.2,0.5,3.2,.234,2.7,.000,0.5,.244,2.7,11.2,11.7,0.0,1.7,13,5,145,0.5,8.2,0.2,1.0,3.7,Luke Babbitt,28,Luke Babbitt,SF
1.9,0.1,6.1,.375,3.6,.409,7.5,.256,0.6,2.2,9.7,1.0,2.3,53,6,713,0.2,8.8,0.8,1.2,6.3,Dwayne Bacon,22,Dwayne Bacon,SG
4.4,0.6,2.3,.339,1.9,.346,2.4,.333,1.0,3.1,5.5,1.9,3.1,29,1,385,0.5,6.6,2.4,1.7,2.8,Ron Baker,24,Ron Baker,SG
2.3,0.5,3.2,.667,6.3,.625,7.2,.800,1.8,2.3,9.5,2.7,5.4,7,0,80,0.5,17.1,0.9,1.8,3.6,Wade Baldwin,21,Wade Baldwin,PG
7.6,0.9,5.9,.360,4.1,.420,5.4,.305,1.8,6.0,11.4,0.6,2.4,52,50,1780,1.4,10.7,1.8,2.8,7.3,Lonzo Ball,20,Lonzo Ball,PG
9.7,0.1,4.2,.439,6.8,.499,8.5,.367,2.6,7.0,15.5,1.8,1.9,69,10,1603,0.3,18.0,0.8,3.2,4.5,J.J. Barea,33,J.J. Barea,PG
2.1,0.2,5.3,.445,7.3,.478,12.0,.357,1.6,4.6,16.5,3.5,1.3,77,77,2634,1.1,19.8,0.7,1.6,6.4,Harrison Barnes,25,Harrison Barnes,PF
4.4,0.7,4.5,.452,6.2,.510,8.1,.370,2.1,5.7,13.8,2.4,2.3,81,40,2683,0.9,17.0,1.1,2.0,5.5,Will Barton,27,Will Barton,SG
6.3,0.4,4.5,.415,4.9,.473,6.8,.336,1.7,5.0,11.8,2.0,1.3,64,64,1981,1.0,13.4,1.2,2.4,5.6,Nicolas Batum,29,Nicolas Batum,SG
2.1,0.2,2.5,.416,4.2,.474,4.5,.370,2.1,5.7,10.2,1.4,3.5,39,11,925,0.6,11.9,0.9,1.8,3.1,Jerryd Bayless,29,Jerryd Bayless,SG
2.3,1.2,7.4,.471,5.1,.487,10.3,.143,0.1,0.5,10.8,1.4,4.8,81,67,1485,3.2,11.7,0.5,1.9,10.5,Aron Baynes,31,Aron Baynes,C
4.6,0.9,4.5,.420,5.7,.438,8.1,.394,2.2,5.5,13.6,3.2,3.0,65,65,1789,0.5,16.8,2.0,3.2,5.0,Kent Bazemore,28,Kent Bazemore,SG
4.5,0.4,3.7,.460,8.3,.507,11.5,.375,2.4,6.4,17.9,3.5,1.9,82,82,2977,0.7,22.5,1.2,2.6,4.4,Bradley Beal,24,Bradley Beal,SG
1.9,0.4,3.5,.410,4.5,.469,5.9,.341,1.7,5.1,11.0,1.4,2.2,62,0,583,0.9,12.1,0.9,1.5,4.4,Malik Beasley,21,Malik Beasley,SG
2.7,0.9,6.9,.507,8.9,.520,15.7,.395,0.7,1.9,17.6,2.7,3.2,74,30,1653,2.1,21.3,0.8,3.1,9.0,Michael Beasley,29,Michael Beasley,PF
2.7,0.2,2.4,.441,6.2,.509,6.8,.377,2.8,7.3,14.1,2.7,1.7,80,2,1947,0.4,18.0,1.2,1.7,2.8,Marco Belinelli,31,Marco Belinelli,SG
3.1,0.1,2.6,.410,5.9,.450,7.1,.372,2.7,7.3,14.4,3.0,1.2,52,1,1210,0.4,17.6,1.4,1.6,3.0,Marco Belinelli,31,Marco Belinelli,SG
2.2,0.4,2.2,.495,6.7,.618,6.4,.385,2.8,7.2,13.6,2.3,2.4,28,1,737,0.3,18.6,1.0,2.0,2.5,Marco Belinelli,31,Marco Belinelli,SG
,,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.5,6.5,.627,5.2,.641,8.1,.000,0.0,0.2,8.2,1.3,4.1,57,13,809,2.7,11.7,1.6,2.3,9.2,Jordan Bell,23,Jordan Bell,C
3.9,0.9,5.1,.414,4.2,.429,7.8,.367,0.9,2.4,10.1,1.5,3.0,26,3,455,0.6,10.8,1.7,3.7,5.7,DeAndre' Bembry,23,DeAndre' Bembry,SF
2.3,0.9,5.6,.386,3.3,.426,2.8,.366,2.1,5.6,8.4,0.7,2.9,82,37,2069,0.7,9.2,0.4,1.9,6.3,Dragan Bender,20,Dragan Bender,PF
2.5,0.9,4.5,.440,5.3,.588,3.8,.373,3.1,8.4,12.1,1.3,3.1,77,10,1086,0.6,15.1,0.9,1.2,5.1,Dāvis Bertāns,25,Dāvis Bertāns,PF
3.4,0.5,3.1,.403,5.2,.407,6.4,.400,2.6,6.5,12.8,1.5,3.7,11,11,334,1.7,14.4,2.0,2.7,4.9,Patrick Beverley,29,Patrick Beverley,SG
2.1,1.3,6.9,.540,4.2,.540,7.8,,0.0,0.0,7.8,2.6,3.5,42,0,578,4.4,11.1,0.9,1.3,11.2,Khem Birch,25,Khem Birch,C
2.5,0.3,4.1,.577,4.7,.632,5.9,.429,0.9,2.2,8.1,1.9,2.2,13,1,115,1.9,12.2,0.9,2.5,5.9,Jabari Bird,23,Jabari Bird,SG
1.6,2.3,7.8,.520,4.4,.521,8.5,.000,0.0,0.0,8.5,2.5,3.8,82,25,1495,3.5,11.3,0.5,2.0,11.3,Bismack Biyombo,25,Bismack Biyombo,C
2.3,0.4,5.8,.461,4.5,.505,4.9,.415,2.0,4.8,9.7,0.9,3.7,67,21,1371,1.4,11.9,1.3,1.4,7.2,Nemanja Bjelica,29,Nemanja Bjelica,PF
0.9,2.0,6.7,.591,5.0,.638,7.8,.091,0.1,0.7,8.5,1.9,7.2,51,2,536,4.2,12.1,1.4,2.4,10.9,Tarik Black,26,Tarik Black,C
2.3,0.1,3.3,.371,6.1,.418,10.4,.288,1.7,6.0,16.4,3.4,2.2,19,0,314,0.5,17.3,0.8,1.3,3.8,Antonio Blakeney,21,Antonio Blakeney,SG
5.7,0.7,3.6,.473,7.3,.545,9.8,.347,1.9,5.6,15.3,3.9,2.9,74,74,2322,0.8,20.4,2.3,3.3,4.4,Eric Bledsoe,28,Eric Bledsoe,PG
3.9,0.9,1.7,.400,6.9,.444,11.7,.308,1.7,5.6,17.3,4.8,2.6,3,3,83,1.3,20.4,1.7,4.3,3.0,Eric Bledsoe,28,Eric Bledsoe,PG
5.8,0.6,3.7,.476,7.3,.550,9.7,.349,1.9,5.6,15.3,3.9,2.9,71,71,2239,0.8,20.4,2.3,3.3,4.5,Eric Bledsoe,28,Eric Bledsoe,PG
2.4,0.0,0.8,.200,0.8,.333,2.4,.000,0.0,1.6,4.0,0.8,1.6,5,0,45,0.0,2.4,0.8,2.4,0.8,Vander Blue,25,Vander Blue,SG
4.3,0.3,3.2,.446,5.7,.485,7.3,.392,2.1,5.4,12.8,1.7,2.8,78,53,2175,0.5,15.2,1.2,2.1,3.7,Bogdan Bogdanović,25,Bogdan Bogdanović,SG
