name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Tariq Abdul-Wahad,SG,28,Tariq Abdul-Wahad,14,0,204,6.9,14.7,.466,0.0,0.3,.000,6.9,14.5,.474,0.8,1.5,.500,3.6,6.6,10.2,5.3,1.5,0.8,1.8,6.6,14.5,106
Shareef Abdur-Rahim,PF,26,Shareef Abdur-Rahim,81,81,3087,9.7,20.2,.478,0.4,1.0,.350,9.3,19.2,.485,7.8,9.2,.841,3.0,8.6,11.6,4.1,1.5,0.6,3.6,4.1,27.5,111
Courtney Alexander,PG,25,Courtney Alexander,66,7,1360,7.6,19.9,.382,0.8,2.3,.333,6.9,17.7,.388,4.7,5.8,.808,1.5,3.1,4.7,3.1,1.2,0.2,2.7,4.9,20.7,96
Malik Allen,PF,24,Malik Allen,80,73,2318,7.9,18.6,.424,0.0,0.1,.000,7.9,18.5,.426,2.3,2.9,.802,3.2,6.9,10.0,1.3,0.9,1.8,3.0,5.5,18.1,89
Ray Allen,SG,27,Ray Allen,76,75,2880,11.1,25.4,.439,3.7,9.9,.377,7.4,15.5,.478,5.9,6.4,.916,1.8,5.3,7.1,6.2,1.9,0.3,3.7,4.1,31.9,111
Ray Allen,SG,27,Ray Allen,47,46,1683,11.1,25.3,.437,3.9,9.8,.395,7.2,15.5,.463,5.6,6.2,.913,1.4,5.5,6.9,5.2,1.8,0.3,3.7,4.7,31.6,109
Ray Allen,SG,27,Ray Allen,29,29,1197,11.2,25.5,.441,3.6,10.1,.351,7.7,15.4,.500,6.3,6.8,.920,2.2,5.2,7.4,7.7,2.1,0.1,3.7,3.2,32.3,114
Rafer Alston,PG,26,Rafer Alston,47,4,980,7.6,18.3,.415,2.8,7.1,.392,4.8,11.2,.429,2.0,2.9,.685,1.1,4.7,5.8,10.5,2.1,0.8,4.7,6.5,19.9,100
John Amaechi,C,32,John Amaechi,50,1,474,4.2,13.4,.314,0.0,0.0,,4.2,13.4,.314,2.8,5.9,.481,2.9,5.8,8.7,2.4,1.6,0.8,3.9,5.7,11.2,73
Chris Andersen,C,24,Chris Andersen,59,3,907,6.6,16.6,.400,0.0,0.1,.000,6.6,16.5,.401,4.5,8.1,.550,6.3,9.6,15.9,1.9,1.7,3.5,3.5,5.2,17.7,91
Derek Anderson,PG,28,Derek Anderson,76,76,2556,7.5,17.5,.427,2.4,7.0,.350,5.0,10.5,.477,4.9,5.7,.859,1.1,4.4,5.5,6.8,1.9,0.3,2.7,3.0,22.2,115
Kenny Anderson,PG,32,Kenny Anderson,61,2,1135,7.8,18.2,.427,0.0,0.3,.143,7.7,17.9,.432,2.1,2.7,.789,1.5,4.8,6.3,9.5,2.8,0.2,3.6,5.1,17.8,98
Kenny Anderson,PG,32,Kenny Anderson,38,1,689,8.1,18.4,.440,0.0,0.4,.000,8.1,18.0,.449,2.3,2.8,.829,1.3,5.5,6.9,9.6,3.2,0.1,2.6,5.0,18.4,104
Kenny Anderson,PG,32,Kenny Anderson,23,1,446,7.3,18.1,.407,0.1,0.2,.500,7.2,17.8,.405,1.9,2.6,.727,1.7,3.7,5.4,9.3,2.2,0.5,5.1,5.2,16.7,89
Shandon Anderson,SF,29,Shandon Anderson,82,9,1731,7.6,16.4,.462,1.6,4.3,.371,6.0,12.1,.494,4.2,5.8,.732,2.0,5.8,7.8,2.7,2.2,0.6,3.5,5.4,21.0,101
Robert Archibald,PF,22,Robert Archibald,12,0,72,4.3,14.4,.300,0.0,0.0,,4.3,14.4,.300,5.0,12.9,.389,4.3,7.9,12.2,2.2,0.0,2.2,5.0,6.5,13.7,69
Gilbert Arenas,PG,21,Gilbert Arenas,82,82,2866,9.0,21.0,.431,1.9,5.6,.348,7.1,15.4,.461,6.6,8.3,.791,1.7,5.1,6.9,9.1,2.2,0.3,5.2,4.6,26.6,108
Brandon Armstrong,SG,22,Brandon Armstrong,17,0,69,6.8,20.5,.333,0.8,4.6,.167,6.1,16.0,.381,3.8,4.6,.833,0.0,3.0,3.0,1.5,2.3,0.8,3.8,6.1,18.2,76
Darrell Armstrong,PG,34,Darrell Armstrong,82,23,2350,5.8,14.1,.409,1.7,5.1,.336,4.1,9.0,.450,3.6,4.1,.878,2.0,4.5,6.5,7.1,3.0,0.3,3.5,3.7,16.9,106
Carlos Arroyo,PG,23,Carlos Arroyo,44,0,287,9.4,20.4,.459,0.6,1.3,.429,8.8,19.1,.461,3.4,4.1,.818,2.1,2.8,4.9,9.9,2.2,0.2,5.6,5.2,22.7,98
Chucky Atkins,PG,28,Chucky Atkins,65,7,1398,6.6,18.4,.361,3.4,9.6,.355,3.2,8.8,.368,1.6,1.9,.816,0.8,3.0,3.8,6.9,1.1,0.2,3.0,4.3,18.3,97
Stacey Augmon,SG,34,Stacey Augmon,70,3,862,4.9,12.0,.411,0.0,0.4,.000,4.9,11.5,.427,3.4,4.5,.750,1.6,5.8,7.4,4.3,1.7,0.6,2.5,5.0,13.2,99
Dalibor Bagarić,C,22,Dalibor Bagarić,10,0,76,5.4,17.6,.308,0.0,0.0,,5.4,17.6,.308,2.0,2.7,.750,4.7,8.8,13.5,2.7,2.0,2.0,3.4,7.4,12.8,77
Vin Baker,C,31,Vin Baker,52,9,942,5.6,11.6,.478,0.0,0.2,.000,5.6,11.4,.488,4.0,6.0,.673,5.0,6.1,11.1,1.6,1.2,1.7,3.4,8.2,15.1,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Barry,SG,31,Brent Barry,75,68,2480,5.8,12.7,.458,2.6,6.4,.403,3.2,6.2,.514,2.8,3.5,.795,1.1,5.6,6.6,8.4,2.5,0.3,3.1,4.4,17.0,115
Jon Barry,SG,33,Jon Barry,80,0,1473,7.2,15.9,.450,3.3,8.0,.407,3.9,7.9,.495,3.2,3.8,.860,1.2,5.5,6.8,7.7,2.4,0.5,3.0,3.9,20.8,116
Maceo Baston,PF,27,Maceo Baston,16,0,106,7.6,12.6,.600,0.0,0.0,,7.6,12.6,.600,5.0,6.0,.833,2.0,9.6,11.6,0.0,2.0,5.5,3.0,8.1,20.2,113
Mengke Bateer,C,27,Mengke Bateer,12,0,46,4.6,19.7,.235,1.2,3.5,.333,3.5,16.2,.214,0.0,2.3,.000,2.3,9.3,11.6,4.6,0.0,0.0,7.0,16.2,10.4,53
Mike Batiste,PF,25,Mike Batiste,75,2,1248,8.2,19.4,.422,0.7,3.4,.222,7.4,16.0,.464,2.9,3.7,.784,3.4,7.3,10.7,2.2,1.7,0.7,2.9,5.0,20.0,96
Tony Battie,C,26,Tony Battie,67,62,1683,6.2,11.6,.539,0.0,0.2,.200,6.2,11.4,.544,2.8,3.7,.746,4.6,8.9,13.6,1.5,1.0,2.5,1.5,6.2,15.3,119
Shane Battier,SF,24,Shane Battier,78,47,2383,6.0,12.4,.483,1.9,4.7,.398,4.1,7.7,.535,2.6,3.2,.828,2.8,4.7,7.5,2.3,2.2,1.9,1.5,4.5,16.4,120
Lonny Baxter,C,24,Lonny Baxter,55,0,682,7.2,15.5,.466,0.0,0.2,.000,7.2,15.3,.471,5.3,7.7,.680,4.9,7.5,12.4,1.2,0.7,1.7,3.5,10.2,19.7,100
Raja Bell,SG,26,Raja Bell,75,32,1173,4.1,9.3,.441,0.9,2.3,.412,3.2,7.1,.450,1.0,1.5,.676,2.1,4.3,6.4,2.5,2.3,0.4,1.9,5.9,10.2,101
Jonathan Bender,SF,22,Jonathan Bender,46,2,819,7.2,16.3,.441,1.2,3.4,.358,6.0,12.9,.463,3.8,5.4,.714,2.7,5.8,8.5,2.7,0.5,3.6,2.7,5.5,19.4,103
Corey Benjamin,SG,24,Corey Benjamin,9,0,152,4.5,14.9,.302,0.7,4.5,.154,3.8,10.4,.367,4.2,5.6,.750,3.5,7.3,10.8,3.5,0.3,0.7,2.1,6.9,13.9,93
Travis Best,PG,30,Travis Best,72,52,1807,7.0,17.6,.396,1.1,3.3,.330,5.9,14.3,.411,3.2,3.7,.854,0.8,3.7,4.4,7.7,1.3,0.2,3.2,5.3,18.2,97
Mike Bibby,PG,24,Mike Bibby,55,55,1835,9.0,19.2,.470,1.5,3.8,.409,7.5,15.4,.485,4.4,5.1,.861,0.9,3.1,4.0,7.8,2.0,0.2,3.5,2.6,24.0,109
Chauncey Billups,PG,26,Chauncey Billups,74,74,2327,8.7,20.7,.421,3.5,9.0,.392,5.2,11.6,.443,7.6,8.6,.878,0.9,5.6,6.5,6.8,1.5,0.4,3.2,3.2,28.5,116
Corie Blount,C,34,Corie Blount,50,3,836,4.0,8.2,.485,0.0,0.0,,4.0,8.2,.485,1.2,2.1,.571,4.2,8.4,12.6,3.1,2.0,1.2,2.6,7.4,9.2,99
Mark Blount,C,27,Mark Blount,81,31,1403,5.6,13.1,.432,0.0,0.0,,5.6,13.1,.432,3.8,5.2,.727,4.2,7.4,11.6,2.1,1.6,2.6,3.9,7.0,15.1,93
