APP,BPP,DRB PP,FG %,FG PP,FG2 %,FG2 PP,FG2A PP,FG3 %,FG3 PP,FG3A PP,FGA PP,FT %,FT PP,FTA PP,Fouls PP,GP,GS,MP,ORB PP,Off. Ra,PPP,SPP,TO PP,TRB PP,Teams,age,name,position
1.6,0.5,3.4,.357,4.4,.500,1.2,2.4,.323,3.3,10.1,12.5,.923,1.0,1.0,4.2,31,2,588,0.4,103,13.1,1.3,1.1,3.8,Álex Abrines,25,Álex Abrines,SG
3.1,1.6,8.5,.222,1.6,.667,0.8,1.2,.133,0.8,5.8,7.0,.700,2.7,3.9,9.3,10,0,123,1.2,87,6.6,0.4,1.6,9.7,Quincy Acy,28,Quincy Acy,PF
7.0,0.5,5.3,.345,4.1,.361,1.4,3.9,.338,2.7,8.0,11.9,.778,0.8,1.0,4.9,34,1,428,1.2,99,11.7,1.5,3.0,6.5,Jaylen Adams,22,Jaylen Adams,PG
2.2,1.3,6.5,.595,8.4,.596,8.4,14.1,.000,0.0,0.0,14.1,.500,2.6,5.1,3.6,80,80,2669,6.8,120,19.4,2.0,2.4,13.3,Steven Adams,25,Steven Adams,C
4.7,1.7,11.0,.576,7.2,.588,7.1,12.0,.200,0.1,0.4,12.4,.735,4.2,5.8,5.2,82,28,1913,4.2,120,18.6,1.8,3.1,15.2,Bam Adebayo,21,Bam Adebayo,C
1.3,1.0,4.1,.306,2.8,.385,1.3,3.3,.261,1.5,5.9,9.2,1.000,1.0,1.0,3.3,19,3,194,0.8,85,8.2,0.3,1.5,4.9,Deng Adel,21,Deng Adel,SF
13.4,0.0,6.7,.300,6.7,.500,6.7,13.4,.000,0.0,8.9,22.3,.500,2.2,4.5,8.9,7,0,22,2.2,84,15.6,4.5,4.5,8.9,DeVaughn Akoon-Purcell,25,DeVaughn Akoon-Purcell,SG
3.5,1.9,9.0,.519,12.4,.528,12.3,23.2,.238,0.2,0.8,24.0,.847,6.3,7.5,3.3,81,81,2687,4.6,117,31.4,0.8,2.6,13.5,LaMarcus Aldridge,33,LaMarcus Aldridge,C
5.3,0.0,6.1,.333,5.3,.370,4.0,10.9,.250,1.2,4.8,15.8,.667,3.2,4.8,2.8,10,1,120,4.4,93,15.0,0.4,3.2,10.5,Rawle Alkins,21,Rawle Alkins,SG
2.9,0.7,2.3,.376,7.7,.443,4.0,9.1,.323,3.7,11.4,20.5,.750,5.2,6.9,5.4,38,2,416,0.3,95,24.3,0.7,3.8,2.6,Grayson Allen,23,Grayson Allen,SG
2.5,2.7,10.9,.590,7.6,.629,7.5,11.9,.133,0.1,1.0,12.9,.709,4.5,6.3,4.2,80,80,2096,4.3,123,19.8,1.0,2.3,15.3,Jarrett Allen,20,Jarrett Allen,C
8.8,0.5,5.0,.461,7.5,.457,5.6,12.2,.472,2.0,4.2,16.3,.778,4.9,6.3,5.3,19,1,416,0.9,116,21.9,1.9,3.0,5.9,Kadeem Allen,26,Kadeem Allen,SG
2.2,0.7,10.5,.433,5.4,.514,3.4,6.6,.343,2.0,5.9,12.5,.867,3.2,3.7,3.0,81,81,2292,2.4,118,16.1,1.4,1.5,12.9,Al-Farouq Aminu,28,Al-Farouq Aminu,PF
2.3,1.3,6.0,.408,6.4,.500,4.0,8.0,.312,2.4,7.7,15.7,.743,2.6,3.5,4.8,48,4,463,2.4,103,17.8,2.2,2.3,8.4,Justin Anderson,25,Justin Anderson,SF
5.0,1.4,7.9,.543,5.8,.583,5.5,9.4,.265,0.3,1.3,10.7,.578,1.4,2.5,4.3,43,40,1281,1.9,110,13.4,2.1,2.3,9.7,Kyle Anderson,25,Kyle Anderson,SF
2.8,0.1,5.4,.304,3.1,.414,1.8,4.3,.225,1.3,6.0,10.3,.750,1.8,2.4,3.7,25,8,322,2.7,90,9.4,0.6,2.1,8.0,Ryan Anderson,30,Ryan Anderson,PF
2.9,0.2,5.3,.317,3.3,.462,2.1,4.5,.206,1.2,5.8,10.3,.786,1.9,2.4,4.0,15,8,278,2.4,91,9.6,0.5,2.1,7.7,Ryan Anderson,30,Ryan Anderson,PF
2.2,0.0,5.6,.222,2.2,.000,0.0,3.3,.333,2.2,6.7,10.0,.500,1.1,2.2,2.2,10,0,44,4.4,86,7.8,1.1,2.2,10.0,Ryan Anderson,30,Ryan Anderson,PF
8.2,8.2,16.3,.000,0.0,.000,0.0,24.5,,0.0,0.0,24.5,,0.0,0.0,0.0,3,0,6,8.2,33,0.0,0.0,8.2,24.5,Ike Anigbogu,20,Ike Anigbogu,C
8.4,2.2,14.6,.578,14.2,.641,13.2,20.6,.256,1.0,4.0,24.6,.729,9.9,13.5,4.6,72,72,2358,3.1,121,39.3,1.8,5.3,17.7,Giannis Antetokounmpo,24,Giannis Antetokounmpo,PF
0.0,0.0,4.4,.000,0.0,.000,0.0,13.2,,0.0,0.0,13.2,.500,8.8,17.6,0.0,2,0,11,0.0,39,8.8,8.8,4.4,4.4,Kostas Antetokounmpo,21,Kostas Antetokounmpo,PF
0.8,1.2,7.5,.405,8.2,.491,4.7,9.5,.328,3.5,10.7,20.2,.682,2.5,3.7,5.3,10,2,294,1.5,103,22.4,0.7,1.3,9.0,Carmelo Anthony,34,Carmelo Anthony,PF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,0.8,4.9,.453,6.5,.574,4.1,7.2,.332,2.4,7.2,14.3,.581,1.3,2.2,5.0,67,6,1352,2.1,104,16.6,1.6,1.9,7.0,OG Anunoby,21,OG Anunoby,SF
6.7,0.1,4.7,.447,4.6,.527,2.6,5.0,.373,2.0,5.4,10.3,.873,2.2,2.5,4.2,81,32,1961,0.7,121,13.5,1.6,1.6,5.4,Ryan Arcidiacono,24,Ryan Arcidiacono,PG
5.1,0.4,6.5,.399,5.9,.493,3.0,6.1,.334,2.9,8.8,14.9,.793,2.6,3.3,2.6,69,69,2349,1.0,107,17.5,1.8,2.1,7.5,Trevor Ariza,33,Trevor Ariza,SF
4.7,0.4,7.0,.379,4.6,.409,1.9,4.8,.360,2.7,7.5,12.3,.837,1.9,2.3,2.4,26,26,884,0.9,104,13.9,2.1,2.1,7.8,Trevor Ariza,33,Trevor Ariza,SF
5.3,0.4,6.2,.409,6.7,.528,3.7,6.9,.322,3.1,9.5,16.5,.777,3.0,3.9,2.8,43,43,1465,1.1,109,19.6,1.7,2.2,7.3,Trevor Ariza,33,Trevor Ariza,SF
9.2,0.1,3.5,.470,6.9,.511,4.0,7.9,.421,2.8,6.7,14.6,.866,3.9,4.5,2.5,81,81,2269,0.9,122,20.4,1.1,2.8,4.4,D.J. Augustin,31,D.J. Augustin,PG
2.7,1.5,11.1,.585,11.1,.588,11.1,18.9,.000,0.0,0.1,19.0,.746,3.1,4.1,4.6,71,70,2183,4.9,117,25.4,1.3,2.8,15.9,Deandre Ayton,20,Deandre Ayton,C
