Bird Rights,Remaining,Teams,Year1,Year2,Year3,Year4,Year5,Year6,name
Bird Rights,"$166,476,240",Stephen Curry,"$37,457,154","$40,231,758","$43,006,362","$45,780,966",,,Stephen Curry
,"$112,310,573",LeBron James,"$35,654,150","$37,436,858","$39,219,565","$41,002,273",,,LeBron James
Bird Rights,"$35,654,150",Russell Westbrook,"$35,654,150","$38,178,000","$41,006,000","$43,848,000","$46,662,000",,Russell Westbrook
,"$35,654,150",Chris Paul,"$35,654,150","$38,506,482","$41,358,814","$44,211,146",,,Chris Paul
Bird Rights,"$102,919,892",Blake Griffin,"$32,088,932","$34,234,964","$36,595,996","$38,957,028",,,Blake Griffin
Cap space,"$63,914,985",Gordon Hayward,"$31,214,295","$32,700,690","$34,187,085",,,,Gordon Hayward
Bird Rights,"$64,496,296",Kyle Lowry,"$31,200,000","$33,296,296",,,,,Kyle Lowry
Maximum Salary,"$30,560,700",Paul George,"$30,560,700","$33,005,556","$35,450,412","$37,895,268",,,Paul George
Cap Space,"$30,521,116",Mike Conley,"$30,521,116","$32,511,623","$34,504,132",,,,Mike Conley
Bird Rights,"$152,903,854",James Harden,"$30,431,854","$37,800,000","$40,824,000","$43,848,000","$46,872,000",,James Harden
,"$30,000,000",Kevin Durant,"$30,000,000",,,,,,Kevin Durant
Cap space,"$60,230,769",Paul Millsap,"$29,730,769","$30,500,000",,,,,Paul Millsap
Cap Space,"$28,928,710",Al Horford,"$28,928,710",,,,,,Al Horford
1st Round Pick,"$285,406,963",Damian Lillard,"$27,977,689","$29,802,321","$31,626,953","$43,750,000","$47,250,000","$50,750,000",Damian Lillard
Cap Space,"$55,479,950",DeMar DeRozan,"$27,739,975","$27,739,975","$27,739,975",,,,DeMar DeRozan
,"$26,837,720",Chris Bosh,"$26,837,720",,,,,,Chris Bosh
Bird Rights,"$53,262,489",Otto Porter,"$26,011,913","$27,250,576","$28,489,239",,,,Otto Porter
Bird Rights,"$78,238,333",Jrue Holiday,"$25,976,111","$26,131,111","$26,131,111","$27,020,000",,,Jrue Holiday
1st Round Pick,"$82,670,877",CJ McCollum,"$25,759,766","$27,556,959","$29,354,152",,,,CJ McCollum
,"$25,534,253",Carmelo Anthony,"$25,534,253",,,,,,Carmelo Anthony
,,,,,,,,,
,,,,,,,,,
1st Round Pick,"$146,667,250",Andrew Wiggins,"$25,467,250","$27,270,000","$29,290,000","$31,310,000","$33,330,000",,Andrew Wiggins
1st Round Pick,"$25,467,250",Joel Embiid,"$25,467,250","$27,270,000","$29,290,000","$31,310,000","$33,330,000",,Joel Embiid
Cap Space,"$81,279,057",Bradley Beal,"$25,434,263","$27,093,019","$28,751,775",,,,Bradley Beal
Cap Space,"$52,527,282",Andre Drummond,"$25,434,263","$27,093,019","$28,751,775",,,,Andre Drummond
1st Round Pick,"$25,434,263",Anthony Davis,"$25,434,263","$27,093,019","$28,751,775",,,,Anthony Davis
Cap Space,"$25,434,263",Hassan Whiteside,"$25,434,263","$27,093,018",,,,,Hassan Whiteside
,"$142,710,045",Nikola Jokić,"$24,605,181","$26,573,595","$28,542,009","$30,510,423","$32,478,837",,Nikola Jokić
1st Round Pick,"$77,528,091",Steven Adams,"$24,157,304","$25,842,697","$27,528,090",,,,Steven Adams
1st Round Pick,"$77,528,091",Giannis Antetokounmpo,"$24,157,304","$25,842,697","$27,528,090",,,,Giannis Antetokounmpo
Bird Rights,"$144,519,025",Kevin Love,"$24,119,025","$28,900,000","$31,300,000","$31,300,000","$28,900,000",,Kevin Love
Bird Rights,"$49,714,725",Marc Gasol,"$24,119,025","$25,595,700",,,,,Marc Gasol
Cap Space,"$109,107,258",Harrison Barnes,"$24,107,258",,,,,,Harrison Barnes
Cap Space,"$24,107,258",Chandler Parsons,"$24,107,258","$25,102,511",,,,,Chandler Parsons
