name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Quincy Acy,PF,24,Quincy Acy,68,22,1287,6.2,13.5,.459,0.7,2.5,.300,5.5,11.1,.494,3.1,4.0,.784,3.2,9.1,12.3,2.8,1.1,0.9,2.5,6.0,16.3,105
Jordan Adams,SG,20,Jordan Adams,30,0,248,7.4,18.1,.407,2.1,5.3,.400,5.3,12.8,.410,2.9,4.8,.609,1.9,4.0,5.9,3.4,3.4,1.5,2.9,5.1,19.8,96
Steven Adams,C,21,Steven Adams,70,67,1771,6.1,11.3,.544,0.0,0.1,.000,6.1,11.2,.547,2.9,5.8,.502,5.6,9.2,14.8,1.9,1.1,2.4,2.8,6.3,15.2,108
Jeff Adrien,PF,28,Jeff Adrien,17,0,215,4.5,10.4,.432,0.0,0.0,,4.5,10.4,.432,5.2,9.0,.579,5.4,12.8,18.2,3.5,0.9,2.1,2.1,7.1,14.2,109
Arron Afflalo,SG,29,Arron Afflalo,78,72,2502,7.5,17.8,.424,2.4,6.7,.354,5.2,11.1,.466,3.4,4.0,.843,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,103
Arron Afflalo,SG,29,Arron Afflalo,53,53,1750,8.0,18.8,.428,2.3,6.9,.337,5.7,11.8,.481,3.6,4.3,.841,0.6,4.5,5.1,2.9,0.9,0.1,2.4,3.1,22.0,104
Arron Afflalo,SG,29,Arron Afflalo,25,19,752,6.4,15.4,.414,2.4,6.1,.400,3.9,9.3,.423,2.7,3.2,.851,0.4,4.1,4.5,1.9,0.6,0.1,2.2,4.0,17.9,100
Alexis Ajinça,C,26,Alexis Ajinça,68,8,957,9.9,18.1,.550,0.0,0.0,,9.9,18.1,.550,4.4,5.4,.818,5.7,11.6,17.3,2.6,1.2,2.8,3.8,8.3,24.3,113
Furkan Aldemir,PF,23,Furkan Aldemir,41,9,540,3.7,7.2,.513,0.0,0.5,.000,3.7,6.8,.548,1.2,2.5,.481,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,117
Cole Aldrich,C,26,Cole Aldrich,61,16,976,7.8,16.2,.478,0.0,0.0,,7.8,16.2,.478,2.7,3.5,.781,5.4,12.8,18.2,4.0,2.0,3.5,3.2,6.6,18.2,104
